STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 1311LITR1003, Cơ sở văn hoá Việt Nam, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 2, 1311FREN1012, Đọc Viết cơ sở, 4, Bắt Buộc, 2.50, C+, ,Chi tiết
 3, 1311PHYL1003, Giáo dục thể chất 2 (Thể dục), 2, Tự Chọn, 4.00, A, ,Chi tiết
 4, 1311FREN1011, Nghe Nói cơ sở, 4, Bắt Buộc, 2.50, C+, ,Chi tiết
 5, 1311POLI1001, Những nguyên lý cơ bản của chủ nghĩa Mác – Lênin, 5, Bắt Buộc, 0.50, F+, ,Chi tiết
 6, 1311ENGL2001," Tiếng Anh ngoại ngữ 2, học phần 1", 3, Tự Chọn, 2.00, C, ,Chi tiết
 7, 1311COMP1001, Tin học căn bản, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 1, 1321MILI1101, Đường lối quân sự của Đảng, 3, Bắt Buộc, 4.00, Ð, ,Chi tiết
 2, 1321PHYL1002, Giáo dục thể chất 1 (Điền kinh), 2, Tự Chọn, 3.00, B, ,Chi tiết
 3, 1321FREN1017, Ngữ âm, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 4, 1321FREN1019, Ngữ pháp 1, 2, Bắt Buộc, 0.50, F+, ,Chi tiết
 5, 1321FREN1205, Phương pháp nghiên cứu khoa học, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 6, 1321MILI1103," Quân sự chung và chiến thuật, kỹ thuật bắn súng tiểu liên AK", 4, Bắt Buộc, 4.00, Ð, ,Chi tiết
 7, 1321ENGL2002," Tiếng Anh ngoại ngữ 2, học phần 2", 3, Tự Chọn, 2.00, C, ,Chi tiết
 8, 1321FREN1113, Tiếng Pháp 1 (BPD), 4, Bắt Buộc, 1.50, D+, ,Chi tiết
 9, 1321LITR1007, Tiếng Việt, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 10, 1321FREN1074, Tin học và ứng dụng trong du lịch, 2, Tự Chọn, 3.00, B, ,Chi tiết
