STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 1911MATH1402, Đại số tuyến tính 1, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 2, 1911MILI2401, Đường lối quốc phòng và an ninh của Đảng Cộng sản Việt Nam, 2, Tự Chọn, 4.00, Ð, ,Chi tiết
 3, 1911MATH1403, Giải tích hàm một biến, 4, Bắt Buộc, 1.50, D+, ,Chi tiết
 4, 1911PHYL2401, Giáo dục thể chất 1 (Thể dục - Điền kinh), 1, Tự Chọn, 4.00, A, ,Chi tiết
 5, 1911MATH1405, Hình học giải tích, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 6, 1911EDUC1400, Nhập môn nghề giáo, 1, Bắt Buộc, 2.50, C+, ,Chi tiết
 7, 1911POLI1903, Pháp luật đại cương, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 8, 1911PSYC1001, Tâm lý học đại cương, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 9, 1911TTTH1001, Tin học căn bản, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 10, 1911POLI2001, Triết học Mác – Lênin, 3, Bắt Buộc, 3.50, B+, ,Chi tiết
 1, 1921POLI2003, Chủ nghĩa xã hội khoa học, 2, Bắt Buộc, , , ,Chi tiết
 2, 1921MILI2402, Công tác quốc phòng và an ninh, 2, Tự Chọn, , , ,Chi tiết
 3, 1921MATH1404, Đại số tuyến tính 2, 3, Tự Chọn, , , ,Chi tiết
 4, 1921MATH1407, Giải tích hàm nhiều biến, 4, Bắt Buộc, , , ,Chi tiết
 5, 1921EDUC1003, Giáo dục học đại cương, 2, Bắt Buộc, , , ,Chi tiết
 6, 1921PHYL2408, Giáo dục Thể chất 2 - Bóng đá cơ bản, 1, Tự Chọn, 0.00, F, ,Chi tiết
 7, 1921MILI2404," Hiểu biết chung về quân, binh chủng", 1, Tự Chọn, , , ,Chi tiết
 8, 1921POLI2002, Kinh tế chính trị học Mác - Lênin, 2, Bắt Buộc, , , ,Chi tiết
 9, 1921MATH1481, Phương pháp nghiên cứu khoa học, 2, Bắt Buộc, , , ,Chi tiết
 10, 1921MILI2403," Quân sự chung, chiến thuật, kỹ thuật bắn súng ngắn và sử dụng lựu đạn", 4, Tự Chọn, , , ,Chi tiết
 11, 1921PSYC1400, Tâm lý học giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 12, 1921ENGL2401, Tiếng Anh học phần I, 4, Tự Chọn, , , ,Chi tiết
 1, 2111MATH1704, Cấu trúc đại số, 3, Bắt Buộc, 2.50, C+, ,Chi tiết
 2, 2111EDUC1003, Giáo dục học đại cương, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 3, 2111PHYL2414, Giáo dục Thể chất 3 - Bóng rổ nâng cao, 1, Tự Chọn, 4.00, A, ,Chi tiết
 4, 2111PSYC1009, Giao tiếp sư phạm, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 5, 2111MATH1424, Lý luận dạy học đại cương môn toán, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 6, 2111MATH1700, Phương pháp nghiên cứu khoa học Giáo dục môn Toán, 2, Bắt Buộc, 4.00, A, ,Chi tiết
 7, 2111MILI2703, Quân sự chung, 2, Bắt Buộc, 3.50, Ð, ,Chi tiết
 8, 2111MATH1410, Tôpô đại cương, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 9, 2111MATH1703, Xác suất thống kê, 2, Bắt Buộc, 4.00, A, ,Chi tiết
 1, 2121POLI2003, Chủ nghĩa xã hội khoa học, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 2, 2121MATH1413, Độ đo và tích phân, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 3, 2121MATH1407, Giải tích hàm nhiều biến, 4, Bắt Buộc, 1.00, D, ,Chi tiết
 4, 2121MATH1417, Hình học vi phân, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 5, 2121MATH1702, Không gian tuyến tính, 3, Bắt Buộc, 2.50, C+, ,Chi tiết
 6, 2121POLI2002, Kinh tế chính trị học Mác - Lênin, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 7, 2121MILI2704, Kỹ thuật chiến đấu bộ binh và chiến thuật, 4, Bắt Buộc, 3.00, Ð, ,Chi tiết
 8, 2121MATH1427, Lý luận dạy học hình học, 2, Bắt Buộc, 4.00, A, ,Chi tiết
 9, 2121PSYC1400, Tâm lý học giáo dục, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 10, 2121MATH1705, Vành và vành đa thức, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 1, 2131MATH1429, Hình học sơ cấp, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 2, 2131MATH1416, Lý thuyết trường, 2, Tự Chọn, 1.50, D+, ,Chi tiết
 1, 2211MILI2702, Công tác quốc phòng và an ninh, 2, Bắt Buộc, 2.50, Ð, ,Chi tiết
 2, 2211MATH1421, Đại cương về phương pháp tính, 2, Bắt Buộc, 1.00, D, ,Chi tiết
 3, 2211MATH1419, Giải tích hàm, 3, Bắt Buộc, 2.50, C+, ,Chi tiết
 4, 2211MATH1415, Hàm một biến phức, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 5, 2211MATH1429, Hình học sơ cấp, 3, Bắt Buộc, 4.00, A, ,Chi tiết
