STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 1911ENGL1406, Đọc - Viết 1, 3, Bắt Buộc, 1.50, D+, ,Chi tiết
 2, 1911PHYL2401, Giáo dục thể chất 1 (Thể dục - Điền kinh), 1, Bắt Buộc, 4.00, A, ,Chi tiết
 3, 1911ENGL1401, Nghe - Nói 1, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 4, 1911POLI1903, Pháp luật đại cương, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 5, 1911PSYC1001, Tâm lý học đại cương, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 6, 1911POLI2001, Triết học Mác – Lênin, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 1, 1921POLI2003, Chủ nghĩa xã hội khoa học, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 2, 1921MILI2402, Công tác quốc phòng và an ninh, 2, Bắt Buộc, 4.00, Ð, ,Chi tiết
 3, 1921ENGL1466, Đọc - Viết Thương mại 1, 4, Bắt Buộc, 3.00, B, ,Chi tiết
 4, 1921PHYL2407, Giáo dục Thể chất 2 - Bóng rổ cơ bản, 1, Tự Chọn, 3.50, B+, ,Chi tiết
 5, 1921POLI2002, Kinh tế chính trị học Mác - Lênin, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 6, 1921ENGL1461, Nghe - Nói Thương mại 1, 4, Bắt Buộc, 3.00, B, ,Chi tiết
 7, 1921ENGL1472, Văn phạm thương mại, 3, Tự Chọn, 2.50, C+, ,Chi tiết
 1, 2011ENGL1467, Đọc - Viết Thương mại 2, 4, Bắt Buộc, 3.50, B+, ,Chi tiết
 2, 2011MILI2401, Đường lối quốc phòng và an ninh của Đảng Cộng sản Việt Nam, 2, Bắt Buộc, 3.50, Ð, ,Chi tiết
 3, 2011PHYL2414, Giáo dục Thể chất 3 - Bóng rổ nâng cao, 1, Tự Chọn, 3.00, B, ,Chi tiết
 4, 2011ENGL1474, Lý thuyết dịch thương mại, 3, Tự Chọn, 3.00, B, ,Chi tiết
 5, 2011ENGL1462, Nghe - Nói Thương mại 2, 4, Bắt Buộc, 3.00, B, ,Chi tiết
 6, 2011ENGL1411, Ngôn Ngữ học 1, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 7, 2011MILI2403," Quân sự chung, chiến thuật, kỹ thuật bắn súng ngắn và sử dụng lựu đạn", 4, Bắt Buộc, 3.50, Ð, ,Chi tiết
 8, 2011POLI2005, Tư tưởng Hồ Chí Minh, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 1, 2021ENGL1468, Đọc - Viết Thương mại 3, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 2, 2021POLI2004, Lịch sử Đảng cộng sản Việt Nam, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 3, 2021ENGL1463, Nghe - Nói Thương mại 3, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 4, 2021ENGL1412, Ngôn ngữ học 2, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 5, 2021TTTH1001, Tin học căn bản, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 6, 2021ENGL1475, Tổng quan thương mại, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 1, 2111ENGL1469, Đọc - Viết Thương mại 4, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 2, 2111ENGL1464, Nghe - Nói Thương mại 4, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 3, 2111ENGL1421, Ngôn ngữ học xã hội, 3, Tự Chọn, 4.00, A, ,Chi tiết
 4, 2111MILI2703, Quân sự chung, 2, Tự Chọn, 3.50, Ð, ,Chi tiết
 5, 2111ENGL1476, Quản trị học, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 6, 2111ENGL1473, Thuyết trình, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 7, 2111ENGL1494, Ứng dụng Công nghệ thông tin trong dịch thuật tiếng Anh thương mại, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 8, 2111ENGL1505, Văn minh Hoa Kỳ, 4, Tự Chọn, 4.00, A, ,Chi tiết
 1, 2121ENGL1470, Đọc - Viết Thương mại 5, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 2, 2121ENGL1425, Giao tiếp liên văn hóa, 4, Tự Chọn, 4.00, A, ,Chi tiết
 3, 2121PSYC1495, Kỹ năng tư duy phản biện và tư duy sáng tạo, 2, Tự Chọn, 4.00, A, ,Chi tiết
 4, 2121ENGL1465, Nghe - Nói Thương mại 5, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 5, 2121ENGL1478, Nghiên cứu thương mại 1, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 6, 2121ENGL1480, Thực tập nghề nghiệp 1, 2, Bắt Buộc, 4.00, A, ,Chi tiết
 7, 2121ENGL1482, Tiếp thị, 4, Bắt Buộc, 3.50, B+, ,Chi tiết
 8, 2121ENGL1413, Văn học Anh, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 1, 2211ENGL1471, Đọc - Viết Thương mại 6, 3, Bắt Buộc, 1.50, D+, ,Chi tiết
 2, 2211PSYC1494, Kỹ năng quản lý cảm xúc, 2, Tự Chọn, 3.00, B, ,Chi tiết
 3, 2211PSYC1493, Kỹ năng thích ứng và giải quyết vấn đề, 2, Tự Chọn, 3.00, B, ,Chi tiết
 4, 2211ENGL1479, Nghiên cứu thương mại 2, 4, Bắt Buộc, 4.00, A, ,Chi tiết
 5, 2211ENGL1489, Quản trị nguồn nhân lực, 3, Tự Chọn, 2.50, C+, ,Chi tiết
 6, 2211ENGL1488, Thương mại quốc tế, 3, Tự Chọn, 4.00, A, ,Chi tiết
 1, 2221ENGL1481, Thực tập nghề nghiệp 2, 6, Bắt Buộc, , , ,Chi tiết
