STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 1911EDUC1302, Đại cương về khoa học quản lý, 2, Bắt Buộc, , , ,Chi tiết
 2, 1911MILI2401, Đường lối quốc phòng và an ninh của Đảng Cộng sản Việt Nam, 2, Bắt Buộc, 4.00, Ð, ,Chi tiết
 3, 1911PHYL2401, Giáo dục thể chất 1 (Thể dục - Điền kinh), 1, Tự Chọn, 4.00, A, ,Chi tiết
 4, 1911EDUC1404, Hệ thống giáo dục quốc dân Việt Nam và các nước trên thế giới, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 5, 1911EDUC1401, Logic học đại cương, 2, Bắt Buộc, , , ,Chi tiết
 6, 1911EDUC1400, Nhập môn nghề giáo, 1, Bắt Buộc, 3.00, B, ,Chi tiết
 7, 1911POLI1903, Pháp luật đại cương, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 8, 1911PSYC1001, Tâm lý học đại cương, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 9, 1911POLI2001, Triết học Mác – Lênin, 3, Bắt Buộc, 1.50, D+, ,Chi tiết
 1, 1921EDUC1003, Giáo dục học đại cương, 2, Bắt Buộc, , , ,Chi tiết
 2, 1921PHYL2403, Giáo dục Thể chất 2 - Cầu lông cơ bản, 1, Tự Chọn, 4.00, A, ,Chi tiết
 3, 1921EDUC1324, Phương pháp học tập tích cực, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 4, 1921EDUC1304, Phương Pháp nghiên cứu khoa học giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 5, 1921ENGL2401, Tiếng Anh học phần I, 4, Tự Chọn, , , ,Chi tiết
 6, 1921TTTH1001, Tin học căn bản, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 1, 2011EDUC1306, Chiến lược phát triển giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 2, 2011EDUC1402, Cơ sở Tâm lý học của quản lý giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 3, 2011EDUC1336, Giáo dục gia đình, 2, Tự Chọn, , , ,Chi tiết
 4, 2011EDUC1303, Giáo dục giá trị, 2, Tự Chọn, , , ,Chi tiết
 5, 2011PHYL2412, Giáo dục Thể chất 3 - Cầu lông nâng cao, 1, Tự Chọn, 0.00, F, ,Chi tiết
 6, 2011PSYC1009, Giao tiếp sư phạm, 2, Tự Chọn, , , ,Chi tiết
 7, 2011EDUC1501, Giao tiếp trong quản lý giáo dục, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 8, 2011EDUC1309, Khoa học quản lý giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 9, 2011EDUC1403, Thống kê trong nghiên cứu khoa học xã hội, 2, Bắt Buộc, , , ,Chi tiết
 10, 2011ENGL2401, Tiếng Anh học phần I, 4, Tự Chọn, , , ,Chi tiết
 11, 2011ENGL2402, Tiếng Anh học phần II, 3, Tự Chọn, , , ,Chi tiết
 12, 2011EDUC1348, Tổ chức hoạt động giáo dục ở trường phổ thông, 2, Bắt Buộc, , , ,Chi tiết
 13, 2011POLI2005, Tư tưởng Hồ Chí Minh, 2, Bắt Buộc, , , ,Chi tiết
 1, 2021EDUC1311, Cơ sở pháp lý của quản lý giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 2, 2021PHYL2412, Giáo dục Thể chất 3 - Cầu lông nâng cao, 1, Tự Chọn, 0.00, F, ,Chi tiết
 3, 2021EDUC1314, Hệ thống thông tin trong quản lý giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 4, 2021EDUC1349, Kiểm tra và đánh giá trong giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 5, 2021EDUC1305, Lịch sử các tư tưởng giáo dục, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 6, 2021EDUC1332, Marketing trong giáo dục, 2, Tự Chọn, , , ,Chi tiết
 7, 2021EDUC1414, Rèn luyện NV QLGD thường xuyên, 2, Bắt Buộc, , , ,Chi tiết
 8, 2021ENGL2401, Tiếng Anh học phần I, 4, Tự Chọn, , , ,Chi tiết
 9, 2021EDUC1408, Ứng dụng Công nghệ thông tin trong Quản lý giáo dục, 2, Bắt Buộc, 0.50, F+, ,Chi tiết
 1, 2111EDUC1326, Giáo dục kỹ năng sống, 2, Bắt Buộc, , , ,Chi tiết
 2, 2111EDUC1330, Hoạt động nhóm và kỹ năng truyền thông, 2, Bắt Buộc, , , ,Chi tiết
 3, 2111EDUC1405," Nghiệp vụ công tác học sinh, sinh viên trong cơ sở giáo dục", 2, Bắt Buộc, 0.00, F, ,Chi tiết
 4, 2111EDUC1313, Nhân cách và lao động của người cán bộ quản lý giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 5, 2111EDUC1007, Quản lý hành chính nhà nước và Quản lý ngành giáo dục và đào tạo, 1, Bắt Buộc, , , ,Chi tiết
 6, 2111EDUC1315, Quản lý hoạt động dạy học, 2, Bắt Buộc, , , ,Chi tiết
 7, 2111EDUC1407, Quản lý hoạt động giáo dục ngoài giờ lên lớp, 2, Bắt Buộc, , , ,Chi tiết
 8, 2111EDUC1406, Quản lý trường học và cơ sở giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 9, 2111PSYC1032, Tham vấn học đường, 2, Bắt Buộc, , , ,Chi tiết
 1, 2211MILI2702, Công tác quốc phòng và an ninh, 2, Tự Chọn, , , ,Chi tiết
 2, 2211PSYC1009, Giao tiếp sư phạm, 2, Tự Chọn, , , ,Chi tiết
 3, 2211EDUC1330, Hoạt động nhóm và kỹ năng truyền thông, 2, Bắt Buộc, 0.00, F, ,Chi tiết
 4, 2211EDUC1309, Khoa học quản lý giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 5, 2211EDUC1332, Marketing trong giáo dục, 2, Tự Chọn, , , ,Chi tiết
 6, 2211EDUC1304, Phương Pháp nghiên cứu khoa học giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 7, 2211EDUC1007, Quản lý hành chính nhà nước và Quản lý ngành giáo dục và đào tạo, 1, Bắt Buộc, , , ,Chi tiết
 8, 2211EDUC1315, Quản lý hoạt động dạy học, 2, Bắt Buộc, , , ,Chi tiết
 9, 2211EDUC1407, Quản lý hoạt động giáo dục ngoài giờ lên lớp, 2, Bắt Buộc, , , ,Chi tiết
 10, 2211EDUC1406, Quản lý trường học và cơ sở giáo dục, 2, Bắt Buộc, , , ,Chi tiết
 11, 2211PSYC1032, Tham vấn học đường, 2, Bắt Buộc, , , ,Chi tiết
 12, 2211EDUC1403, Thống kê trong nghiên cứu khoa học xã hội, 2, Bắt Buộc, , , ,Chi tiết
