STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 1211LITR1003, Cơ sở văn hoá Việt Nam, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 2, 1211FREN1012, Đọc Viết cơ sở, 4, Bắt Buộc, 2.00, C, ,Chi tiết
 3, 1211PHYL1002, Giáo dục thể chất 1 (Điền kinh), 2, Tự Chọn, 2.50, C+, ,Chi tiết
 4, 1211FREN1011, Nghe Nói cơ sở, 4, Bắt Buộc, 2.00, C, ,Chi tiết
 5, 1211POLI1001, Những nguyên lý cơ bản của chủ nghĩa Mác – Lênin, 5, Bắt Buộc, 2.50, C+, ,Chi tiết
 6, 1211ENGL2001," Tiếng Anh ngoại ngữ 2, học phần 1", 3, Tự Chọn, 3.00, B, ,Chi tiết
 7, 1211COMP1001, Tin học căn bản, 3, Bắt Buộc, 3.50, B+, ,Chi tiết
 1, 1221MILI1001, Giáo dục quốc phòng (HP1), 2, Bắt Buộc, 4.00, Ð, ,Chi tiết
 2, 1221MILI1002, Giáo dục quốc phòng (HP2), 2, Bắt Buộc, 4.00, Ð, ,Chi tiết
 3, 1221MILI1003, Giáo dục quốc phòng (HP3), 2, Bắt Buộc, 4.00, Ð, ,Chi tiết
 4, 1221MILI1004, Giáo dục quốc phòng (HP4), 2, Bắt Buộc, 4.00, Ð, ,Chi tiết
 5, 1221PHYL1003, Giáo dục thể chất 2 (Thể dục), 2, Tự Chọn, 3.50, B+, ,Chi tiết
 6, 1221FREN1023, Lý luận dạy và học ngoại ngữ, 2, Tự Chọn, 1.50, D+, ,Chi tiết
 7, 1221FREN1017, Ngữ âm, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 8, 1221FREN1019, Ngữ pháp 1, 2, Bắt Buộc, 1.00, D, ,Chi tiết
 9, 1221FREN1205, Phương pháp nghiên cứu khoa học, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 10, 1221ENGL2002," Tiếng Anh ngoại ngữ 2, học phần 2", 3, Tự Chọn, 3.00, B, ,Chi tiết
 11, 1221FREN1013, Tiếng Pháp 1 (SP), 4, Tự Chọn, 1.00, D, ,Chi tiết
 12, 1221LITR1007, Tiếng Việt, 2, Bắt Buộc, 4.00, A, ,Chi tiết
 13, 1221POLI1003, Tư tưởng Hồ Chí Minh, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 1, 1311FREN1024, Các phương pháp và kỹ thuật dạy và học tiếng Pháp, 3, Tự Chọn, 1.00, D, ,Chi tiết
 2, 1311LITR1006, Dẫn luận ngôn ngữ học, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 3, 1311RUSS1050, Đọc - Viết Anh 1, 4, Tự Chọn, 1.50, D+, ,Chi tiết
 4, 1311POLI1002, Đường lối cách mạng của Đảng Cộng sản Việt Nam, 3, Bắt Buộc, 2.50, C+, ,Chi tiết
 5, 1311PHYL1004, Giáo dục thể chất 3 (Cầu lông), 1, Tự Chọn, 4.00, A, ,Chi tiết
 6, 1311FREN1020, Ngữ pháp 2, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 7, 1311FREN1075, Quản trị khách sạn, 2, Tự Chọn, 3.00, B, ,Chi tiết
 8, 1311ENGL2003," Tiếng Anh ngoại ngữ 2, học phần 3", 3, Tự Chọn, 2.00, C, ,Chi tiết
 9, 1311FREN1014, Tiếng Pháp 2 (SP), 4, Tự Chọn, 2.00, C, ,Chi tiết
 1, 1321DOMS1003, Làm bánh, 2, Tự Chọn, 4.00, A, ,Chi tiết
 2, 1321FREN1023, Lý luận dạy và học ngoại ngữ, 2, Tự Chọn, 4.00, A, ,Chi tiết
 3, 1321FREN1010, Ngôn ngữ học đối chiếu Pháp – Việt, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 4, 1321FREN1017, Ngữ âm, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 5, 1321FREN1019, Ngữ pháp 1, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 6, 1321FREN1025, Quản lý chương trình và tài liệu giảng dạy, 2, Tự Chọn, 1.50, D+, ,Chi tiết
 7, 1321ENGL2004," Tiếng Anh ngoại ngữ 2, học phần 4", 3, Tự Chọn, 2.00, C, ,Chi tiết
 8, 1321FREN1115, Tiếng Pháp 3 (BDP), 4, Bắt Buộc, 2.50, C+, ,Chi tiết
 9, 1321FREN1018, Từ vựng, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 1, 1411FREN1024, Các phương pháp và kỹ thuật dạy và học tiếng Pháp, 3, Tự Chọn, 3.50, B+, ,Chi tiết
 2, 1411FREN1042, Dịch nói 1, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 3, 1411FREN1041, Dịch viết 1, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 4, 1411FREN1012, Đọc Viết cơ sở, 4, Bắt Buộc, 3.00, B, ,Chi tiết
 5, 1411FREN1020, Ngữ pháp 2, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 6, 1411FREN1047, Nguyên tắc dịch thuật, 2, Bắt Buộc, 4.00, A, ,Chi tiết
 7, 1411FREN1045, Thông tin thời sự 1, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 8, 1411FREN1116, Tiếng Pháp 4 (BPD), 4, Bắt Buộc, 2.00, C, ,Chi tiết
 9, 1411FREN1027, Xây dựng kỹ năng giảng dạy, 3, Tự Chọn, 2.50, C+, ,Chi tiết
 1, 1421FREN1044, Dịch nói 2, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 2, 1421FREN1043, Dịch viết 2, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 3, 1421FREN1085, Khái niệm cơ bản về kinh tế, 2, Tự Chọn, 3.00, B, ,Chi tiết
 4, 1421FREN1046, Thông tin thời sự 2, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 5, 1421FREN1113, Tiếng Pháp 1 (BPD), 4, Bắt Buộc, 3.00, B, ,Chi tiết
 6, 1421FREN1129, Tiếng Pháp 5 (BPD), 4, Tự Chọn, 3.00, B, ,Chi tiết
 7, 1421FREN1022, Văn hóa Pháp, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 8, 1421FREN1021, Văn học Pháp, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 1, 1511FREN1048, Dịch nói 3, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 2, 1511FREN1088, Dịch viết (tốt nghiệp), 3, Tự Chọn, 3.00, B, ,Chi tiết
 3, 1511FREN1091, Khái niệm cơ bản về Luật, 2, Tự Chọn, 4.00, A, ,Chi tiết
 4, 1511FREN1026, Kiểm tra-đánh giá, 2, Tự Chọn, 4.00, A, ,Chi tiết
 5, 1511FREN1162, Nói (Tốt nghiệp - BPD), 3, Tự Chọn, 3.00, B, ,Chi tiết
 6, 1511FREN1087, Soạn thuật ngữ chuyên ngành, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 7, 1511FREN1049, Thông tin thời sự 3, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 8, 1511FREN1130, Tiếng Pháp 6 (BPD), 4, Tự Chọn, 2.50, C+, ,Chi tiết
 9, 1511FREN1035, Văn hóa đối chiếu Pháp - Việt, 2, Tự Chọn, 3.50, B+, ,Chi tiết
 1, 1521FREN1159, Rèn luyện nghiệp vụ, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 2, 1521FREN1084, Thực tập cuối khóa, 6, Bắt Buộc, 4.00, A, ,Chi tiết
