STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 2211FRAN1801, Đọc - Viết A1, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 2, 2211MILI2701, Đường lối quốc phòng và an ninh của Đảng Cộng sản Việt Nam, 3, Bắt Buộc, 3.00, Ð, ,Chi tiết
 3, 2211PHYL2401, Giáo dục thể chất 1 (Thể dục - Điền kinh), 1, Tự Chọn, 4.00, A, ,Chi tiết
 4, 2211FRAN1800, Nghe - Nói A1, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 5, 2211FRAN1021, Ngữ âm tiếng Pháp, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 6, 2211POLI1903, Pháp luật đại cương, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 7, 2211PSYC1001, Tâm lý học đại cương, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 8, 2211POLI2001, Triết học Mác – Lênin, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 1, 2221POLI2003, Chủ nghĩa xã hội khoa học, 2, Bắt Buộc, , , ,Chi tiết
 2, 2221MILI2702, Công tác quốc phòng và an ninh, 2, Bắt Buộc, , , ,Chi tiết
 3, 2221FRAN1803, Đọc - Viết A2, 3, Bắt Buộc, , , ,Chi tiết
 4, 2221PHYL2407, Giáo dục Thể chất 2 - Bóng rổ cơ bản, 1, Tự Chọn, , , ,Chi tiết
 5, 2221PSYC2801, Kỹ năng làm việc nhóm và tư duy sáng tạo, 2, Tự Chọn, , , ,Chi tiết
 6, 2221FRAN1802, Nghe - Nói A2, 3, Bắt Buộc, , , ,Chi tiết
 7, 2221EDUC2801, Phương pháp học tập hiệu quả, 2, Tự Chọn, , , ,Chi tiết
 8, 2221PSYC2804, Phương pháp nghiên cứu khoa học, 2, Bắt Buộc, , , ,Chi tiết
