STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 2211LITR1912, Cơ sở văn hóa Việt Nam, 2, Tự Chọn, 2.50, C+, ,Chi tiết
 2, 2211MILI2701, Đường lối quốc phòng và an ninh của Đảng Cộng sản Việt Nam, 3, Bắt Buộc, 2.50, Ð, ,Chi tiết
 3, 2211PHYL2401, Giáo dục thể chất 1 (Thể dục - Điền kinh), 1, Bắt Buộc, 4.00, A, ,Chi tiết
 4, 2211EDUC1805, Hệ thống giáo dục quốc tế và Việt Nam, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 5, 2211EDUC1401, Logic học đại cương, 2, Bắt Buộc, 4.00, A, ,Chi tiết
 6, 2211EDUC1700, Nhân cách và lao động của nhà giáo Việt Nam, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 7, 2211POLI1903, Pháp luật đại cương, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 8, 2211PSYC1001, Tâm lý học đại cương, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 9, 2211POLI2001, Triết học Mác – Lênin, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 1, 2221POLI2003, Chủ nghĩa xã hội khoa học, 2, Bắt Buộc, , , ,Chi tiết
 2, 2221MILI2702, Công tác quốc phòng và an ninh, 2, Bắt Buộc, , , ,Chi tiết
 3, 2221EDUC2802, Giáo dục học, 4, Bắt Buộc, , , ,Chi tiết
 4, 2221PHYL2403, Giáo dục Thể chất 2 - Cầu lông cơ bản, 1, Tự Chọn, , , ,Chi tiết
 5, 2221POLI2002, Kinh tế chính trị học Mác - Lênin, 2, Bắt Buộc, , , ,Chi tiết
 6, 2221DOMS2808, Kỹ thuật cắt tỉa rau củ trang trí món ăn, 2, Tự Chọn, , , ,Chi tiết
 7, 2221EDUC1807, Lịch sử giáo dục thế giới và Việt Nam, 3, Bắt Buộc, , , ,Chi tiết
 8, 2221EDUC2801, Phương pháp học tập hiệu quả, 2, Tự Chọn, , , ,Chi tiết
 9, 2221EDUC1304, Phương Pháp nghiên cứu khoa học giáo dục, 2, Bắt Buộc, , , ,Chi tiết
