STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 2111ENGL1406, Đọc - Viết 1, 3, Bắt Buộc, 3.50, B+, ,Chi tiết
 2, 2111MILI2701, Đường lối quốc phòng và an ninh của Đảng Cộng sản Việt Nam, 3, Bắt Buộc, 3.00, Ð, ,Chi tiết
 3, 2111PHYL2401, Giáo dục thể chất 1 (Thể dục - Điền kinh), 1, Bắt Buộc, 4.00, A, ,Chi tiết
 4, 2111ENGL1401, Nghe - Nói 1, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 5, 2111EDUC1400, Nhập môn nghề giáo, 1, Bắt Buộc, 3.50, B+, ,Chi tiết
 6, 2111POLI1903, Pháp luật đại cương, 2, Bắt Buộc, , , ,Chi tiết
 7, 2111PSYC1001, Tâm lý học đại cương, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 8, 2111POLI2001, Triết học Mác – Lênin, 3, Bắt Buộc, 0.00, F, ,Chi tiết
 1, 2121ENGL1407, Đọc - Viết 2, 3, Bắt Buộc, 1.50, D+, ,Chi tiết
 2, 2121EDUC1003, Giáo dục học đại cương, 2, Bắt Buộc, , , ,Chi tiết
 3, 2121PHYL2410, Giáo dục Thể chất 2 - Khiêu vũ thể thao cơ bản, 1, Tự Chọn, 0.00, F, ,Chi tiết
 4, 2121ENGL1402, Nghe - Nói 2, 3, Bắt Buộc, 2.50, C+, ,Chi tiết
 5, 2121TTTH1001, Tin học căn bản, 3, Bắt Buộc, 4.00, A, ,Chi tiết
 1, 2211ENGL1408, Đọc - Viết 3, 3, Bắt Buộc, 3.50, B+, ,Chi tiết
 2, 2211PHYL2418, Giáo dục Thể chất 3 - Teakwondo nâng cao, 1, Tự Chọn, 0.00, F, ,Chi tiết
 3, 2211ENGL1403, Nghe - Nói 3, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 4, 2211ENGL1411, Ngôn Ngữ học 1, 3, Bắt Buộc, 1.00, D, ,Chi tiết
 5, 2211EDUC1348, Tổ chức hoạt động giáo dục ở trường phổ thông, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 1, 2221ENGL1409, Đọc - Viết 4, 3, Bắt Buộc, , , ,Chi tiết
 2, 2221ENGL1431, Lý luận và Phương pháp giảng dạy tiếng Anh 1, 3, Bắt Buộc, , , ,Chi tiết
 3, 2221ENGL1404, Nghe - Nói 4, 3, Bắt Buộc, , , ,Chi tiết
 4, 2221ENGL1412, Ngôn ngữ học 2, 3, Bắt Buộc, , , ,Chi tiết
