STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 1411LITR1003, Cơ sở văn hoá Việt Nam, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 2, 1411PHYL1003, Giáo dục thể chất 2 (Thể dục), 2, Tự Chọn, 3.00, B, ,Chi tiết
 3, 1411ENGL1115, Kỹ năng đọc thương mại 1, 2, Bắt Buộc, 1.00, D, ,Chi tiết
 4, 1411ENGL1113, Kỹ năng nghe thương mại 1, 2, Bắt Buộc, 1.00, D, ,Chi tiết
 5, 1411ENGL1114, Ký năng nói thương mại 1, 3, Bắt Buộc, 1.00, D, ,Chi tiết
 6, 1411ENGL1116, Kỹ năng viết thương mại 1, 2, Bắt Buộc, 0.50, F+, ,Chi tiết
 7, 1411POLI1001, Những nguyên lý cơ bản của chủ nghĩa Mác – Lênin, 5, Bắt Buộc, 3.00, B, ,Chi tiết
 8, 1411MILI1103," Quân sự chung và chiến thuật, kỹ thuật bắn súng tiểu liên AK", 4, Bắt Buộc, 4.00, Ð, ,Chi tiết
 9, 1411JAPN2001," Tiếng Nhật ngoại ngữ 2, học phần 1", 3, Tự Chọn, 0.00, F, ,Chi tiết
 10, CHIN2001," Tiếng Trung ngoại ngữ 2, học phần 1", 3, Tự Chọn, , M, ,Chi tiết
 11, CHIN2002," Tiếng Trung ngoại ngữ 2, học phần 2", 3, Tự Chọn, , M, ,Chi tiết
 12, CHIN2003," Tiếng Trung ngoại ngữ 2, học phần 3", 3, Tự Chọn, , M, ,Chi tiết
 13, CHIN2004," Tiếng Trung ngoại ngữ 2, học phần 4", 3, Tự Chọn, , M, ,Chi tiết
 14, 1411ENGL1137, Văn phạm thương mại, 2, Bắt Buộc, 1.00, D, ,Chi tiết
 1, 1421PHYL1002, Giáo dục thể chất 1 (Điền kinh), 2, Tự Chọn, 2.50, C+, ,Chi tiết
 2, 1421ENGL1119, Kỹ năng đọc thương mại 2, 2, Bắt Buộc, 1.00, D, ,Chi tiết
 3, 1421ENGL1117, Kỹ năng nghe thương mại 2, 2, Bắt Buộc, 0.50, F+, ,Chi tiết
 4, 1421ENGL1118, Kỹ năng nói thương mại 2, 3, Bắt Buộc, , , ,Chi tiết
 5, 1421ENGL1120, Kỹ năng viết thương mại 2, 2, Bắt Buộc, 0.50, F+, ,Chi tiết
 6, 1421JAPN2002," Tiếng Nhật ngoại ngữ 2, học phần 2", 3, Tự Chọn, 0.00, F, ,Chi tiết
 7, 1421LITR1007, Tiếng Việt, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 8, 1421COMP1001, Tin học căn bản, 3, Bắt Buộc, 2.50, C+, ,Chi tiết
 9, 1421POLI1003, Tư tưởng Hồ Chí Minh, 2, Bắt Buộc, 2.00, C, ,Chi tiết
