STT,Mã học phần,Tên học phần,Tín chỉ,Loại môn học,Điểm,Điểm chữ,Kết quả,Chi tiết
 1, 1411LITR1003, Cơ sở văn hoá Việt Nam, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 2, 1411FREN1012, Đọc Viết cơ sở, 4, Bắt Buộc, 2.50, C+, ,Chi tiết
 3, 1411PHYL1002, Giáo dục thể chất 1 (Điền kinh), 2, Tự Chọn, 3.50, B+, ,Chi tiết
 4, 1411FREN1011, Nghe Nói cơ sở, 4, Bắt Buộc, 3.00, B, ,Chi tiết
 5, 1411POLI1001, Những nguyên lý cơ bản của chủ nghĩa Mác – Lênin, 5, Bắt Buộc, 2.50, C+, ,Chi tiết
 6, 1411MILI1103," Quân sự chung và chiến thuật, kỹ thuật bắn súng tiểu liên AK", 4, Bắt Buộc, 4.00, Ð, ,Chi tiết
 7, 1411ENGL2001," Tiếng Anh ngoại ngữ 2, học phần 1", 3, Tự Chọn, 4.00, A, ,Chi tiết
 8, 1411COMP1001, Tin học căn bản, 3, Bắt Buộc, 3.00, B, ,Chi tiết
 1, 1421PHYL1003, Giáo dục thể chất 2 (Thể dục), 2, Tự Chọn, 2.00, C, ,Chi tiết
 2, 1421FREN1023, Lý luận dạy và học ngoại ngữ, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 3, 1421FREN1017, Ngữ âm, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 4, 1421FREN1019, Ngữ pháp 1, 2, Bắt Buộc, 0.50, F+, ,Chi tiết
 5, 1421FREN1205, Phương pháp nghiên cứu khoa học, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 6, 1421PSYC1001, Tâm lý học đại cương, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 7, 1421ENGL2002," Tiếng Anh ngoại ngữ 2, học phần 2", 3, Tự Chọn, , , ,Chi tiết
 8, 1421FREN1013, Tiếng Pháp 1 (SP), 4, Bắt Buộc, 2.50, C+, ,Chi tiết
 9, 1421LITR1007, Tiếng Việt, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 10, 1421POLI1003, Tư tưởng Hồ Chí Minh, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 1, 1431POLI1002, Đường lối cách mạng của Đảng Cộng sản Việt Nam, 3, Bắt Buộc, 2.50, C+, ,Chi tiết
 2, 1431PSYC1002, Tâm lý học lứa tuổi và Tâm lý học sư phạm, 2, Bắt Buộc, 3.50, B+, ,Chi tiết
 1, 1511FREN1024, Các phương pháp và kỹ thuật dạy và học tiếng Pháp, 3, Bắt Buộc, 0.00, F, ,Chi tiết
 2, 1511LITR1006, Dẫn luận ngôn ngữ học, 2, Bắt Buộc, 0.00, F, ,Chi tiết
 3, 1511PSYC1003, Giáo dục học đại cương, 2, Bắt Buộc, 1.00, D, ,Chi tiết
 4, 1511PHYL1004, Giáo dục thể chất 3 (Cầu lông), 1, Tự Chọn, 3.50, B+, ,Chi tiết
 5, 1511PSYC1121, Tâm lý học khách hàng, 2, Tự Chọn, 2.50, C+, ,Chi tiết
 6, 1511FREN1078, Tiếng Anh du lịch 1, 3, Tự Chọn, 2.50, C+, ,Chi tiết
 7, 1511ENGL2003," Tiếng Anh ngoại ngữ 2, học phần 3", 3, Tự Chọn, 3.00, B, ,Chi tiết
 8, 1511FREN1014, Tiếng Pháp 2 (SP), 4, Bắt Buộc, 1.00, D, ,Chi tiết
 1, 1521PSYC1004, Giáo dục học phổ thông, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 2, 1521FREN1010, Ngôn ngữ học đối chiếu Pháp – Việt, 2, Bắt Buộc, 1.50, D+, ,Chi tiết
 3, 1521FRAN1021, Ngữ âm tiếng Pháp, 2, Tự Chọn, 3.00, B, ,Chi tiết
 4, 1521FRAN1023, Ngữ pháp tiếng Pháp 1, 2, Tự Chọn, 1.50, D+, ,Chi tiết
 5, 1521FREN1025, Quản lý chương trình và tài liệu giảng dạy, 2, Bắt Buộc, 1.00, D, ,Chi tiết
 6, 1521ENGL2002," Tiếng Anh ngoại ngữ 2, học phần 2", 3, Tự Chọn, 3.00, B, ,Chi tiết
 7, 1521ENGL2004," Tiếng Anh ngoại ngữ 2, học phần 4", 3, Tự Chọn, 3.50, B+, ,Chi tiết
 8, 1521FREN1015, Tiếng Pháp 3 (SP), 4, Bắt Buộc, 1.00, D, ,Chi tiết
 9, 1521FREN1018, Từ vựng, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 1, 1531MILI1102," Công tác quốc phòng, an ninh", 2, Bắt Buộc, 4.00, Ð, ,Chi tiết
 2, 1531PHYL1069, Karatedo, 2, Tự Chọn, 4.00, A, ,Chi tiết
 3, 1531FREN1014, Tiếng Pháp 2 (SP), 4, Bắt Buộc, 2.00, C, ,Chi tiết
 1, 1611FREN1024, Các phương pháp và kỹ thuật dạy và học tiếng Pháp, 3, Bắt Buộc, 2.50, C+, ,Chi tiết
 2, 1611FREN1206, Chương trình cơ bản về dạy học của Intel, 2, Bắt Buộc, 2.50, C+, ,Chi tiết
 3, 1611LITR1006, Dẫn luận ngôn ngữ học, 2, Bắt Buộc, 3.00, B, ,Chi tiết
 4, 1611FRAN1023, Ngữ pháp tiếng Pháp 1, 2, Tự Chọn, 1.00, D, ,Chi tiết
 5, 1611FRAN1024, Ngữ pháp tiếng Pháp 2, 2, Tự Chọn, , , ,Chi tiết
 6, 1611PSYC1219, Tâm lý học sáng tạo, 3, Tự Chọn, 3.50, B+, ,Chi tiết
 7, 1611FREN1016, Tiếng Pháp 4 (SP), 4, Bắt Buộc, 0.50, F+, ,Chi tiết
 8, 1611FREN1027, Xây dựng kỹ năng giảng dạy, 3, Bắt Buộc, 2.00, C, ,Chi tiết
 1, 1621FRAN1055, Lý luận dạy và học ngoại ngữ, 2, Tự Chọn, , , ,Chi tiết
 2, 1621FRAN1024, Ngữ pháp tiếng Pháp 2, 2, Tự Chọn, 0.00, F, ,Chi tiết
 3, 1621FRAN1048, Rèn luyện nghiệp vụ Sư phạm, 2, Tự Chọn, 4.00, A, ,Chi tiết
 4, 1621FRAN1032, Văn hóa Pháp, 2, Tự Chọn, 2.00, C, ,Chi tiết
 5, 1621FREN1021, Văn học Pháp, 2, Bắt Buộc, 2.00, C, ,Chi tiết
 1, 1711FRAN1059, Kiểm tra đánh giá KQHT môn tiếng Pháp, 2, Tự Chọn, 2.00, C, ,Chi tiết
 2, 1711FREN1028, Phân tích tác nghiệp, 2, Bắt Buộc, 1.00, D, ,Chi tiết
 3, 1711PSYC1007, Quản lý hành chính nhà nước và Quản lý ngành giáo dục và đào tạo, 1, Bắt Buộc, , , ,Chi tiết
 1, 1721FRAN1014, Đọc - Viết 3 SP, 2, Tự Chọn, 1.50, D+, ,Chi tiết
 2, 1721FRAN1055, Lý luận dạy và học ngoại ngữ, 2, Tự Chọn, 2.00, C, ,Chi tiết
 3, 1721FRAN1004, Nghe - Nói 3 SP, 3, Tự Chọn, 1.50, D+, ,Chi tiết
 4, 1721FRAN1027, Ngôn ngữ học đối chiếu Pháp - Việt, 2, Tự Chọn, , , ,Chi tiết
 5, 1721EDUC1007, Quản lý hành chính nhà nước và Quản lý ngành giáo dục và đào tạo, 1, Tự Chọn, , , ,Chi tiết
 6, 1721FRAN1053, Xây dựng kỹ năng hội nhập nghề nghiệp, 2, Tự Chọn, , , ,Chi tiết
 1, 1811FRAN1228, Dẫn luận ngôn ngữ học chuyên ngành tiếng Pháp, 2, Tự Chọn, , , ,Chi tiết
 2, 1811FRAN1015, Đọc - Viết 4 (SP), 2, Tự Chọn, 1.00, D, ,Chi tiết
 3, 1811FRAN1005, Nghe - Nói 4 (SP), 3, Tự Chọn, , , ,Chi tiết
 4, 1811FRAN1024, Ngữ pháp tiếng Pháp 2, 2, Tự Chọn, 0.00, F, ,Chi tiết
 5, 1811EDUC1007, Quản lý hành chính nhà nước và Quản lý ngành giáo dục và đào tạo, 1, Tự Chọn, 2.00, C, ,Chi tiết
 6, 1811FRAN1209, Tiếng Pháp du lịch (Nghe - Nói), 3, Tự Chọn, , , ,Chi tiết
 1, 1821FRAN1016, Đọc - Viết 5 SP, 2, Tự Chọn, 0.00, F, ,Chi tiết
 2, 1821FRAN1006, Nghe - Nói 5 SP, 3, Tự Chọn, , , ,Chi tiết
 3, 1821FRAN1027, Ngôn ngữ học đối chiếu Pháp - Việt, 2, Tự Chọn, 1.00, D, ,Chi tiết
 4, 1821FRAN1057, Phương pháp quan sát dự giờ, 2, Tự Chọn, 0.00, F, ,Chi tiết
 5, 1821FRAN1138, Thông tin thời sự 1, 2, Tự Chọn, 3.50, B+, ,Chi tiết
 6, 1821FRAN1140, Thông tin thời sự 3, 2, Tự Chọn, 0.00, F, ,Chi tiết
 1, 1911FRAN1005, Nghe - Nói 4 (SP), 3, Tự Chọn, 0.00, F, ,Chi tiết
 2, 1911FRAN1024, Ngữ pháp tiếng Pháp 2, 2, Tự Chọn, 0.00, F, ,Chi tiết
 3, 1911FRAN1042, Phương pháp nghiên cứu điều tra xã hội, 2, Tự Chọn, 2.00, C, ,Chi tiết
 4, 1911FRAN1062, Thiết kế công cụ đánh giá, 3, Tự Chọn, 0.00, F, ,Chi tiết
 5, 1911FRAN1139, Thông tin thời sự 2, 2, Tự Chọn, 3.50, B+, ,Chi tiết
 1, 1921JAPN1427, Dịch viết 1, 3, Tự Chọn, , , ,Chi tiết
 2, 1921FRAN1016, Đọc - Viết 5 SP, 2, Tự Chọn, 0.00, F, ,Chi tiết
 3, 1921FRAN1006, Nghe - Nói 5 SP, 3, Tự Chọn, , , ,Chi tiết
 4, 1921FRAN1057, Phương pháp quan sát dự giờ, 2, Tự Chọn, 2.50, C+, ,Chi tiết
 5, 1921FRAN1140, Thông tin thời sự 3, 2, Tự Chọn, 1.00, D, ,Chi tiết
 6, 1921FRAN1020, Thực tập sư phạm 2, 6, Tự Chọn, 4.00, A, ,Chi tiết
 7, 1921FRAN1283, Tiếng Pháp du lịch 1, 3, Tự Chọn, 0.50, F+, ,Chi tiết
 1, 2011MILI2401, Đường lối quốc phòng và an ninh của Đảng Cộng sản Việt Nam, 2, Tự Chọn, 2.50, Ð, ,Chi tiết
 2, 2011FRAN1005, Nghe - Nói 4 (SP), 3, Tự Chọn, 1.50, D+, ,Chi tiết
 3, 2011FRAN1024, Ngữ pháp tiếng Pháp 2, 2, Tự Chọn, 0.00, F, ,Chi tiết
 4, 2011FRAN1075, Quản trị lữ hành, 2, Tự Chọn, 0.00, F, ,Chi tiết
 5, 2011FRAN1084, Thiết kế chuyên đề dạy học, 3, Tự Chọn, 1.50, D+, ,Chi tiết
 6, 2011FRAN1065, Thực hành dịch viết 1, 2, Tự Chọn, 0.50, F+, ,Chi tiết
 7, 2011FRAN1008, Tiếng Pháp nâng cao (SP), 3, Tự Chọn, 1.00, D, ,Chi tiết
 1, 2021FRAN1234, Văn hóa Việt Nam chuyên ngành tiếng Pháp du lịch 1, 2, Tự Chọn, 1.50, D+, ,Chi tiết
 2, 2021FRAN1053, Xây dựng kỹ năng hội nhập nghề nghiệp, 2, Tự Chọn, 1.50, D+, ,Chi tiết
 1, 2031FRAN1024, Ngữ pháp tiếng Pháp 2, 2, Tự Chọn, 2.50, C+, ,Chi tiết
 1, 2131FRAN1069, Thực hành dịch nói, 4, Tự Chọn, 2.00, C, ,Chi tiết
